191,OPEN,85370547559169,14788,14783,14788,3,557056,getconf,/lib/x86_64-linux-gnu/libc.so.6
192,OPEN,85370547870246,14788,14783,14788,-2,557056,getconf,/usr/lib/locale/locale-archive
193,OPEN,85370547920782,14788,14783,14788,-2,557056,getconf,/usr/share/locale/locale.alias
194,OPEN,85370547963309,14788,14783,14788,3,557056,getconf,/usr/lib/locale/C.UTF-8/LC_CTYPE
195,OPEN,85370548015093,14788,14783,14788,3,32768,getconf,/usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
196,OPEN,85370548094319,14788,14783,14788,3,557056,getconf,/usr/lib/locale/C.UTF-8/LC_MESSAGES
197,OPEN,85370548151534,14788,14783,14788,3,557056,getconf,/usr/lib/locale/C.UTF-8/LC_MESSAGES/SYS_LC_MESSAGES
198,EXIT,85370548260192,14788,14783,14788,0,0,getconf,
199,OPEN,85370548792112,14783,14758,14783,3,557056,skipper,/root/.cache/yb/workspaces/c52ddf65534b/default/linux/amd64/yourbase.txt
200,OPEN,85370548891139,14783,14758,14783,3,557056,skipper,/dev/null
201,CLONE,85370548970155,14783,14758,14783,0,0,skipper,
202,FORK,85370549027988,14783,14758,14783,0,0,skipper,
203,PWD,/workspace/
203,EXECVE_RET,85370549106794,14789,14783,14789,0,0,skipper,/skipper --id 01F3WZHAAA66QY2WFBH27DNRFY -- ls -alt 
204,OPEN,85370549429647,14789,14783,14789,3,557056,skipper,/etc/ld.so.cache
205,OPEN,85370549495176,14789,14783,14789,3,557056,skipper,/lib/x86_64-linux-gnu/libpthread.so.0
206,OPEN,85370549601080,14789,14783,14789,3,557056,skipper,/lib/x86_64-linux-gnu/libc.so.6
207,CLONE,85370549743748,14785,14758,14783,0,0,skipper,
208,FORK,85370549789389,14785,14758,14783,0,0,skipper,
209,CLONE,85370550573997,14789,14783,14789,0,0,skipper,
210,FORK,85370550624440,14789,14783,14789,0,0,skipper,
211,CLONE,85370550717163,14789,14783,14789,0,0,skipper,
212,FORK,85370550761504,14789,14783,14789,0,0,skipper,
213,CLONE,85370550891520,14789,14783,14789,0,0,skipper,
214,FORK,85370550935722,14789,14783,14789,0,0,skipper,
215,OPEN,85370552136748,14789,14783,14789,3,557056,skipper,/proc/stat
216,OPEN,85370552279479,14789,14783,14789,3,557056,skipper,/proc/stat
217,OPEN,85370552415727,14789,14783,14789,3,557056,skipper,/dev/null
218,CLONE,85370552518527,14789,14783,14789,0,0,skipper,
219,FORK,85370552568634,14789,14783,14789,0,0,skipper,
220,PWD,/workspace/
220,EXECVE_RET,85370552666667,14794,14789,14794,0,0,skipper,/usr/bin/getconf CLK_TCK 
